feature,mean_abs_shap
Score_Source_2,0.35156906
Score_Source_1,0.15548259
x5_Graduation,0.082568295
Phone_Change,0.07844227
Own_House_Age,0.07646412
x7_Female,0.070334
Social_Circle_Default,0.062143028
x4_Service,0.043726124
x8_CL,0.043351255
x18_XNA,0.04152441
x5_Secondary,0.030389037
Credit_Bureau,0.021265645
x18_Self-employed,0.02116582
x18_Business Entity Type 3,0.021131523
Cleint_City_Rating,0.02095756
House_Own,0.018787194
x12_365243.0,0.017902464
Child_Count,0.017627917
Application_Process_Day,0.017422512
Workphone_Working,0.017227584
x1_54504.0,0.01678065
x16_No,0.016265599
Homephone_Tag,0.013584605
x6_M,0.013308974
x3_Alone,0.0129013015
x4_Retired,0.010683414
x15_Core,0.010653204
x1_64008.0,0.010618657
x18_Construction,0.010263306
x4_Commercial,0.009819518
Application_Process_Hour,0.008779979
x1_45000.0,0.008303842
x4_Govt Job,0.008260622
x8_RL,0.008215898
x7_Male,0.0075880196
x18_School,0.007137372
x1_59256.0,0.006836341
Client_Family_Members,0.006554066
Car_Owned,0.006037664
x1_52128.0,0.00592172
x15_High skill tech,0.005890366
x0_9000.0,0.005757187
x19_0.000527265,0.0056995484
x15_Sales,0.00511441
x1_90000.0,0.0049970797
x9_Home,0.0047515663
x10_0.010643,0.0045883483
x1_25470.0,0.004504355
x18_Transport: type 4,0.0043180375
x18_Government,0.0040361285
x10_0.0228,0.0039786836
x19_0.652896552,0.0037384205
x1_112500.0,0.0037148206
x19_0.558506628,0.0036821857
x0_15750.0,0.0034747962
x15_Drivers,0.0032663853
x15_Security,0.003100044
x2_2259.9,0.0030288848
x2_2631.6,0.002962329
x18_Military,0.002935733
x18_Industry: type 9,0.002903966
x15_Cooking,0.0028699876
x1_15282.0,0.0026985586
x19_0.673830078,0.002604781
x19_0.76623367,0.0024722007
x19_0.16146308,0.0024099718
x10_0.010006,0.0023885341
x2_1350.0,0.0023753517
x19_0.581483706,0.002281461
x19_0.746300213,0.0022269608
x1_128835.0,0.002205159
x10_0.006852,0.002205143
x1_67950.0,0.0021371795
x15_Laborers,0.0020954316
x19_0.285179905,0.0020810275
x1_34380.0,0.00206182
x10_0.014464,0.0020532182
x2_2188.8,0.0020144677
x19_0.832785025,0.0019998604
x1_80865.0,0.0019696543
x0_31500.0,0.0019364529
x18_Transport: type 2,0.0019314735
x9_Municipal,0.0019262027
x2_3568.5,0.0018895441
x19_0.13937578,0.0018890046
x0_11250.0,0.0018533708
x19_0.733814537,0.00184843
x19_0.718032811,0.0018408484
x18_Trade: type 2,0.0018225163
x16_Yes,0.0017949895
x10_0.018029,0.0017773216
x19_0.694092643,0.0017763295
x3_Relative,0.0017464773
x19_0.70620511,0.0016894895
x15_Low-skill Laborers,0.0016817938
x10_0.04622,0.001670539
Active_Loan,0.0016697077
x2_900.0,0.0016581459
x18_Trade: type 3,0.0016440747
x19_0.277885689,0.0016272471
Bike_Owned,0.0016148207
x18_Security Ministries,0.0015874841
x6_S,0.0015679186
x19_0.240541417,0.0015468043
x2_2025.0,0.0015298113
x18_Transport: type 3,0.0014693479
x19_0.626304277,0.0014674029
x1_22752.0,0.0014129956
x19_0.171468367,0.0014110543
x19_0.234015167,0.001346294
x2_3539.25,0.0013431328
x1_50688.9,0.0013323458
x19_0.749021705,0.0013313218
x6_D,0.0013301598
x1_22500.0,0.0012743126
x1_76022.55,0.0012563599
x1_45450.0,0.0012516859
x19_0.145542813,0.0012446862
x0_8100.0,0.0012008633
x17_No,0.0011907
x19_0.207964174,0.0011854944
x19_0.707699345,0.0011789916
x19_0.659405532,0.0011786304
x19_0.18629295,0.0011607114
x0_10800.0,0.0011451625
x19_0.132597495,0.0011416961
x9_Family,0.0011321964
x2_2201.85,0.0011055184
x10_0.006629,0.0010839164
x2_3044.25,0.0010653316
x19_0.183035167,0.0010616668
x0_18000.0,0.0010508662
x2_2650.95,0.0010475476
x1_14391.0,0.000994208
x10_0.031329,0.0009879196
x19_0.310818254,0.0009840961
x10_0.018801,0.000976949
x19_0.157594999,0.0009708646
x2_2840.85,0.00096025795
x2_2425.95,0.000942273
x10_0.008474,0.0009358961
x2_1836.45,0.00092452235
x19_0.639707568,0.0009206888
x2_2246.85,0.00091778545
x19_0.259467655,0.0009156416
x19_0.29859499,0.00091388024
x19_0.135106016,0.0009034349
x18_Police,0.00088317157
x19_0.204422625,0.00087877305
x1_50940.0,0.000862165
x19_0.15951954,0.000855387
x19_0.151007535,0.0008347155
x1_83538.0,0.00082643394
x19_0.551381262,0.0008216816
x19_0.334454126,0.00081532524
x19_0.399675616,0.0007757713
x19_0.251239446,0.0007692886
x2_1521.9,0.000765969
x2_5346.0,0.0007645216
x19_0.303146374,0.0007614054
x10_0.020713,0.0007531611
x19_0.52629494,0.0007443522
x19_0.225086862,0.0007414616
x19_0.210350229,0.0007397586
x1_31410.0,0.0007309362
x13_1.0,0.00071396667
x12_851.0,0.0007045948
x19_0.651260219,0.0007024428
x0_13500.0,0.0006975248
x19_0.824594971,0.0006972941
x10_0.00712,0.0006969033
x1_180000.0,0.00069341506
x19_0.684827659,0.00068234204
x19_0.252598698,0.0006818087
x10_0.072508,0.00067935477
x12_178.0,0.00067743595
x9_Rental,0.00066181115
x1_88884.0,0.00066142797
x2_2553.75,0.0006536364
x2_3007.35,0.00064074737
x1_81000.0,0.0006387752
x12_2877.0,0.00063561107
x19_0.11247435,0.00063345523
x1_44805.6,0.00063046545
x2_2732.4,0.0006273244
x19_0.273564678,0.00062170514
x19_0.372333666,0.0006200332
x2_3618.45,0.00061838794
x19_0.108226323,0.0006123826
x19_0.258084204,0.00060700846
x19_0.798137231,0.00060281105
x19_0.583237926,0.0006021847
x19_0.340906426,0.000597029
x10_0.020246,0.00059456314
x19_0.725276435,0.00057929027
x12_1650.0,0.000572398
x14_2699.0,0.0005636223
x19_0.223831317,0.0005635091
x1_17829.0,0.00056336686
x2_3088.8,0.00056090247
x14_4053.0,0.00056012266
x2_3126.15,0.00055570353
x19_0.7136314,0.00055553805
x19_0.203252114,0.0005554471
x12_1914.0,0.0005487935
x1_47404.8,0.0005465905
x10_0.028663,0.0005456528
x19_0.590233339,0.0005430594
x12_915.0,0.00054305553
x19_0.104119916,0.00053985947
x1_50849.55,0.0005357492
x18_Business Entity Type 1,0.00053470815
x19_0.187388765,0.00053411105
x2_2664.0,0.00053218246
x19_0.681705878,0.0005274183
x13_289.0,0.0005229228
x19_0.12064103,0.0005200001
x2_1601.1,0.00051798375
x1_90450.0,0.00051465625
x19_0.123735322,0.00051415403
x19_0.119119065,0.00051320024
x10_0.030755,0.0005088935
x2_1662.75,0.00049508904
x19_0.58499004,0.00049300445
x19_0.392773861,0.00049204106
x19_0.365616507,0.00048759553
x18_Industry: type 7,0.00048097264
x0_7200.0,0.00047998704
x14_3991.0,0.00047329706
x19_0.192942228,0.00047252138
x2_3833.1,0.00047218378
x19_0.69562193,0.00046961242
x19_0.260855914,0.00046874286
x1_75519.0,0.00046617398
x0_6750.0,0.00045722642
x19_0.153802586,0.00045524517
x10_0.018634,0.00045269175
x19_0.629674251,0.00044344668
x19_0.194067828,0.0004399312
x10_0.00496,0.00043958047
x19_0.166405546,0.00043206112
x1_71700.3,0.00043135
x14_2837.0,0.00042947088
x12_297.0,0.00042719228
x2_4241.7,0.00042420364
x1_82482.3,0.0004235442
